SMILES,Hf
N#CCC1(CO1)C1CN1,45.7479675
OC(CC1CCC1)C=O,-68.5854625
O=CC1OC2C=CCC12,-17.91502
CNC(=O)C1C2CCC12,-7.056335
CCC12CC1C(N2)C#N,74.090325
CC1CC(O)C2(C)NC12,-29.77645
C1C2CC3CC=CC2C13,42.93002
NC(=O)CC(C#C)C#C,67.07947
COC12CC1C1(CO1)C2,-3.22233
N=C1OC2CC1(C2)C#C,68.53778
CC1=CCC2CCOC12,-29.2723
CCC12OC1CCC2O,-72.2839475
O=CNC(=O)CC#N,-46.106615
COCCNCCC#N,-21.686765
CC(O)C(C)C#CCO,-44.534015
OC1C2CC1C1(O)CC21,-10.81759
CC1C(O)C1(C)C#N,-3.69212
OC1CCC2=C1N=NN2,24.6714525
OCC1(O)CC1CC#C,-8.0911025
C1OC2C3C4C(CN34)C12,57.47034
CC(C)(O)CC(O)C#N,-76.246655
COC12CC1OC2=N,-7.1904975
CC12CC(O)C1COC2,-68.8916825
CC1(CO1)C1CC(=O)N1,-44.9755975
[O-]C(=O)C12CCC1C[NH2+]2,-45.8817075
CC1C2CC1(O)C2,3.5925375
CC1=CCCCC1C=O,-32.0929125
C#CC#CC1=NCCO1,92.61706
C1N=COC2C3NC2C13,65.276395
OCC1CCOC2CC12,-58.4588675
CC1CCC(=C1)C#N,31.9049875
CC1CC2C1C=CC2O,-9.507305
O=C1C2C3CN4C(C23)C14,39.34648
CC1(O)C2C3CC3C12O,11.1254575
C1OC11CC2COC2C1,-30.02411
CC1C2CC1C(O)C2O,-61.56562
O1C=CN=C1,-7.2796025
CCOCC(=O)C#C,-18.79732
O=C1CC2C(C3CC3)C12,30.691195
CC1C(C)(C)C1(O)C=O,-74.8855625
CC1CC(=O)C(CO)=C1,-70.1433225
CCC#CC(CC)C#N,56.8410225
CN=C1OC(C)C1(C)C,-37.724365
OC12COC1CCCC2,-69.91137
COC(=O)C1OC1C#C,-34.694435
CC1=NC=C(O)C=N1,-13.2148825
OCC1(CO)C(O)C1O,-140.9183675
CCC(C1CN1)C(C)=O,-26.28755
CN1CC2(C1)NC2(C)C,38.2765725
CC12C3CC3C1CC2O,24.9192275
COCC1=NCC(=O)N1,-61.2316575
CC12OCC1C2C#C,65.0846575
OC1C=CC2(OC12)C#N,13.7914775
O=CC1=NOC(=O)N1,-60.9351325
CNC1(COC1)C#C,47.19562
CC1(C)N2CC1(C2)C#C,125.606865
NC1=CNC(=O)C(=O)N1,-58.040015
ON=C1C2CC2NC1=O,-2.4227625
CC1(C)C2CC2C2OC12,1.09117
CC1=CN=C(F)C=C1,-34.9997325
OC1C2NC2CNC1=O,-50.18201
CCC1(O)CC(C)C1O,-88.4504525
NC1=CNC(OC=N)=C1,12.4264175
NCC(OCC#N)C#N,26.4623375
CC(=O)OCC1(O)CC1,-119.5736675
CC1=CC(O)=NC=C1N,-27.7912675
CN1C2CC3(C)NC3C12,66.7144675
O1N=CC2=C1N=CC=N2,52.0898825
OC12CC1(OCC2)C=O,-80.864225
CC1=CC(=O)CC1(C)O,-75.1263
CCC1(CO)CCC1O,-81.2404775
COC1=CC(=O)OC=N1,-94.785135
CN=C(OC(C)C)C=O,-74.627705
OC1C=C2COC3C1C23,18.7880825
CC(=O)C1(C)C2CC1C2,12.00716
OCC12CN1C1CC2C1,32.7955625
O=COC1=CNC=C1,-46.13669
CCC1C2C(C)C2C1C,19.2521175
CC1=CC2OC2C1(C)C,-10.2923075
O=CC1C2NC2C11CC1,55.8708425
C1OC2CC3N=COC123,-2.350555
C1OCC23OC=NC2C13,-14.534095
C1OC2C3CCOC2C13,-31.832565
CC1(OC1C#N)C#N,50.668605
CC1=CC=C2CCN12,51.817445
CC1(O)CC1C1(O)CC1,-47.3232525
CC(=O)CNC(=O)C=O,-110.486035
CC1=NC(O)=CNC1=N,-3.2271975
CC1CC11CC(O)C1C,-20.429165
NC(=O)N1CC(C1)=NO,-20.4140825
CC1CN1C(=O)CCO,-64.6962625
CC12C3C4C3C1(O)C24O,53.9795375
CC12CN=C3NC1(C)C23,138.745415
CC1OC(=O)C1CO,-118.7043925
O=C1CC2C3CC12CO3,28.7703525
CC1C(O)C2CCC=C12,-0.6551625
CN1CC(C1)(C=O)C#C,54.5417975
CC1OCC1(N)C(N)=O,-71.8397675
OCC1NC1C#CC#C,99.7665725
CC(O)(CN1CC1)C#C,39.64347
N=C(OC=O)C1CCO1,-83.11574
CN1C2CC(CC#N)C12,81.4879225
CC1OC(=O)OC1C#C,-69.683835
N=C1NC2=C(CCO2)O1,-18.1479125
C#CC12COC1C1NC21,117.8812425
C1NC23COC2COC13,-12.722725
CC(C(C)=O)C1(C)CN1,-29.78398
COCCC1=CC=NN1,-9.7565125
O=CC1N=COC11CC1,-20.0680175
CN1CC2OC2C(=O)C1,-35.5693725
CC(C)(C)OC1(C)CC1,-49.6181775
CC1(C)CCC2(CO2)C1,-36.8702925
C1CC2OCCN=C2O1,-54.245655
CC1COCCC1C=O,-80.49855
COC(C)C#CC(C)=O,-32.9840275
CC12CC3(C=O)C1CC23,50.861555
CC12CC(C1)(C2)NC=O,1.91064
CC(CC#C)N(C)C=O,-0.9789975
CCN=C1C=CNN=C1,58.3506975
O=C1NC2C3C4OC13C24,68.9813575
O=C1CC2(CO2)CC1=O,-66.199955
C#CC1C2OC(C#N)C12,116.0535575
CCC#CCOC(C)=O,-53.70345
C1NC11COCC11CN1,35.89725
CC1CC2C3C1CC23C,28.3266175
CC1C=CC(C=O)C1O,-57.622815
CC#CCCOC(C)C,-19.9052025
CC(=O)C1=CC2CC2C1,-1.21969
OC1C2N3CC3C12O,32.43048
CC12CCC3OC1C3O2,-31.576545
OC1=C(OC=N)ON=N1,-22.5656225
O=CCCC(=O)CC=O,-102.924615
CC12CCC1(CC2)C=O,-6.289485
OCCCN1CC1C=O,-43.7289775
CC1CC23CCC2(C1)N3,51.189535
CC1C2CC(O2)C1C=O,-38.31213
COC(=O)NCC1CO1,-111.90378
CC12CC(C)(C1)C2O,-6.3842725
OCCC1(CN1)C#N,14.46643
O=COCC(C=O)C#N,-74.76663
CCC1OCCC1C,-64.503545
NC1=CN=CN=C1O,-14.410315
CC1CC(N)=CC1=O,-37.53947
O=C1COC2CC2CO1,-87.342535
CC(=O)C1=NC=CN1,-19.705115
CCCOC(=O)C1CO1,-112.41201
O=CC1(C=O)C2CC1C2,7.5859525
CC1CC(CO1)C=O,-76.99503
CC(O)C#CC#N,36.10434
NC(C([NH3+])C#C)C([O-])=O,-31.57789
OC1=C(O)C(=CN1)C#C,7.6357025
CC1OCOCC1CO,-128.9016775
CCC(O)C(C)CC#N,-45.7231075
CC#CC1NCC1=NO,85.0909625
CCC(N)(C#N)C(C)C,-0.2456525
CNC12CC1OCC2=O,-34.855905
CC1CN=C(C)OC1C,-53.3384475
N#CC12CC1CC21CN1,107.1547775
COC1C(C)C1(O)CO,-107.8616025
OC1=CNC(=O)N1C=O,-92.55128
O=C1C=CCC11CN1,13.43697
CCC#CC(O)CC#C,55.183775
CN1N=C(C)C=NC1=N,53.3896375
CC1(CC1CCO)C=O,-68.195785
NC1=C(F)C(O)=CN=C1,-60.901975
CC1=CC(C#C)=C(N)N1,72.4364575
NC(=O)N1C=NC(O)=N1,-56.2108975
C(C1CN1)C1=NC=CN1,52.6555075
C1C2OC2C2C3OC1C23,12.90276
O=CCNC12CN(C1)C2,52.3408875
OC1=NNC(=O)C(=N)N1,-39.85762
COC1C(O)C1(N)C#N,-17.9416875
CC1CC2CC1COC2,-49.99571
CC1=NOC=C(F)C1=O,-61.14923
CC1NC(C2CC2)C1=O,4.708035
CC(=O)C1=CC(C)=CO1,-61.3461775
CCC#CC1COCO1,-26.413475
OCC(O)C1C(O)C1O,-138.67882
NC1=C2N=CNC2=CN1,64.26318
