smiles,scaffold,logP,tPSA,QED
NC(=O)c1ccc(NC(=O)Nc2ccccc2Cl)cn1,O=C(Nc1ccccc1)Nc1cccnc1,2.4779,97.11,0.809753342
Cc1nc(NC(=O)CCC(C)C)ccc1Oc1ccc(=O)[nH]n1,O=c1ccc(Oc2cccnc2)n[nH]1,2.64032,96.97,0.853589839
CC(Sc1nncs1)C(=O)Nc1ccc(Cl)cc1C(N)=O,O=C(CSc1nncs1)Nc1ccccc1,2.4097,97.97,0.812935883
COc1ccc(NC(=O)NCc2c(C)noc2C)cc1N1CCCC1=O,O=C(NCc1cnoc1)Nc1cccc(N2CCCC2=O)c1,2.74854,96.7,0.856552996
O=C(CCNC(=O)OCc1ccccc1)Nc1ccccc1O,O=C(CCNC(=O)OCc1ccccc1)Nc1ccccc1,2.6472,87.66,0.715307952
Nc1nonc1C(=O)Nc1ccc(Cl)c(Cl)c1Cl,O=C(Nc1ccccc1)c1cnon1,2.8643,94.04,0.831949285
Cc1noc(C)c1C(=O)Nc1ccc2scnc2c1N,O=C(Nc1ccc2scnc2c1)c1cnoc1,2.73564,94.04,0.706998348
Cc1ccc(NC(=O)c2cnc(N)nc2N)cc1Br,O=C(Nc1ccccc1)c1cncnc1,1.96422,106.92,0.783380734
O=C(Nc1nc(-c2ccccc2)no1)c1cc(C2CC2)on1,O=C(Nc1nc(-c2ccccc2)no1)c1cc(C2CC2)on1,2.8543,94.05,0.795173641
CSc1ncnc(NC(=O)Nc2ccccc2C)c1N,O=C(Nc1ccccc1)Nc1ccncn1,2.73312,92.93,0.596499414
Nc1nonc1C(=O)Nc1ccc(Cl)c(Cl)c1,O=C(Nc1ccccc1)c1cnon1,2.2109,94.04,0.874259819
CC(C)C(=O)Nc1ccc(NC(=O)c2cc(N)ccn2)cc1,O=C(Nc1ccccc1)c1ccccn1,2.5106,97.11,0.807526046
O=C(Nc1nnc(-c2ccco2)o1)C1COc2ccccc2O1,O=C(Nc1nnc(-c2ccco2)o1)C1COc2ccccc2O1,2.1081,99.62,0.790020143
CC(=O)c1ccc(NC(=O)NCc2ccc(C(N)=O)cc2)cc1,O=C(NCc1ccccc1)Nc1ccccc1,2.3098,101.29,0.738389508
COc1ccc(NC(=O)Nc2ccccc2C(N)=O)cc1,O=C(Nc1ccccc1)Nc1ccccc1,2.4381,93.45,0.804976172
CCOC(=O)c1[nH]c(C)cc1NC(=O)c1c(C)noc1C,O=C(Nc1cc[nH]c1)c1cnoc1,2.35696,97.22,0.842663027
COc1ccc(CNC(=O)c2onc(C3CCCC3)c2N)cc1,O=C(NCc1ccccc1)c1cc(C2CCCC2)no1,2.853,90.38,0.885111727
CCc1nnc(NC(=O)CSc2nnc(C)n2C2CCCC2)o1,O=C(CSc1nncn1C1CCCC1)Nc1nnco1,2.37782,98.73,0.808465857
CC(=O)Nc1ccc(NC(=O)C(C)NC(=O)OC(C)(C)C)cc1,c1ccccc1,2.4967,96.53,0.793518945
COc1ccc(NC(=O)c2cc(C#N)c[nH]2)cc1NC(C)=O,O=C(Nc1ccccc1)c1ccc[nH]1,2.10568,107.01,0.803005985
COC(=O)c1ccc(OCC(=O)Nc2ccc(Cl)cc2N)nc1,O=C(COc1ccccn1)Nc1ccccc1,2.1213,103.54,0.640444279
CCc1noc(CC)c1CC(=O)Nc1ccc(NC(=O)C2CC2)nc1,O=C(Cc1cnoc1)Nc1ccc(NC(=O)C2CC2)nc1,2.7241,97.12,0.806176146
