                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0871,                 3.6502,                 4.0608,                0.98032,                    0.5,                0.50657,                 0.2968,                 3.3149,                 3.2712,                 4.5332,              3.334e-05,              3.334e-05,              3.334e-05
                      1,                 2.8965,                 3.6183,                 3.9909,                0.96402,                    0.5,                0.50633,                0.29478,                 3.2817,                 3.3029,                 4.5487,             8.3075e-05,             8.3075e-05,             8.3075e-05
                      2,                  3.141,                 3.4385,                 3.9877,                0.94666,                    0.5,                0.51731,                0.34524,                 3.2167,                 3.2535,                  4.242,             0.00013248,             0.00013248,             0.00013248
                      3,                 3.0921,                 3.1532,                 3.9049,                0.02675,                0.83333,                0.52066,                0.33179,                 2.8507,                 3.2294,                 3.8228,             0.00018155,             0.00018155,             0.00018155
                      4,                 2.9394,                 3.3528,                 3.7742,                0.00398,                      1,                0.30775,                0.15417,                 2.7296,                 3.4635,                 3.5689,              0.0002303,              0.0002303,              0.0002303
                      5,                 3.0927,                 2.9967,                 3.7811,                0.00382,                      1,                0.11049,                 0.0459,                 2.4996,                 3.5196,                 3.4339,             0.00027871,             0.00027871,             0.00027871
                      6,                 2.7812,                 3.1579,                 3.6894,                0.00365,                      1,                0.12221,                0.03914,                 2.2848,                 3.6733,                 3.2957,              0.0003268,              0.0003268,              0.0003268
                      7,                 2.7957,                 3.0784,                 3.7385,                0.00357,                      1,                0.11341,                0.04302,                 2.1886,                 3.7246,                 3.2246,             0.00037455,             0.00037455,             0.00037455
                      8,                 2.8762,                 3.0452,                 3.6856,                0.00352,                      1,                0.06771,                0.02347,                 2.1658,                  4.024,                 3.2068,             0.00042198,             0.00042198,             0.00042198
                      9,                 2.8241,                 2.8794,                 3.5761,                0.00347,                      1,                 0.0488,                0.01705,                 2.2095,                 4.0792,                 3.2381,             0.00046907,             0.00046907,             0.00046907
                     10,                 2.7711,                 2.9604,                 3.6249,                0.00339,                      1,                0.04004,                0.01663,                 2.2511,                 3.9443,                 3.2681,             0.00051584,             0.00051584,             0.00051584
                     11,                 2.4248,                 3.0586,                 3.6281,                0.00336,                      1,                0.05573,                0.01877,                 2.2427,                 3.8394,                 3.2262,             0.00056227,             0.00056227,             0.00056227
                     12,                 2.7603,                 3.1026,                  3.544,                0.00333,                      1,                 0.0829,                0.02972,                 2.3758,                 3.2631,                 3.2311,             0.00060837,             0.00060837,             0.00060837
                     13,                 2.5902,                 2.9769,                 3.5814,                0.00842,                      1,                0.09399,                0.03404,                  2.402,                  3.214,                 3.2423,             0.00065415,             0.00065415,             0.00065415
                     14,                 2.5697,                 2.8051,                 3.4648,                0.01465,                  0.625,                0.07156,                0.01207,                 2.8617,                  4.241,                 3.5521,             0.00069959,             0.00069959,             0.00069959
                     15,                 2.4706,                 2.8105,                  3.418,                 0.0184,                    0.5,                0.07192,                0.00856,                 3.1151,                 5.7399,                 3.8519,             0.00074471,             0.00074471,             0.00074471
                     16,                 2.5282,                 2.7727,                 3.3028,                0.01301,                    0.5,                0.01967,                0.00274,                 3.0867,                 12.259,                 3.9892,             0.00078949,             0.00078949,             0.00078949
                     17,                 2.3867,                 2.7326,                 3.3659,                0.01701,                    0.5,                0.03141,                0.00498,                 3.1147,                 8.9851,                 3.8762,             0.00083395,             0.00083395,             0.00083395
                     18,                 2.4021,                  2.576,                 3.3841,                0.04985,                    0.5,                0.11544,                0.01897,                 3.1694,                 4.3971,                 3.9714,             0.00087807,             0.00087807,             0.00087807
                     19,                 2.2981,                 2.7045,                 3.2322,                 0.2018,                   0.75,                0.34523,                0.08757,                 3.2165,                 3.3443,                 3.9761,             0.00092186,             0.00092186,             0.00092186
                     20,                 2.4239,                 2.6115,                 3.2641,                0.10644,                  0.875,                0.27121,                 0.0663,                 3.1418,                 3.0574,                 3.7727,             0.00096533,             0.00096533,             0.00096533
                     21,                 2.2982,                 2.5435,                 3.2235,                0.07787,                  0.375,                0.37431,                0.07567,                 2.9969,                 2.8121,                  3.546,              0.0010085,              0.0010085,              0.0010085
                     22,                  2.245,                 2.4076,                 3.1395,                0.64502,                   0.25,                0.23445,                0.04139,                 3.0644,                 2.9888,                  3.656,              0.0010513,              0.0010513,              0.0010513
                     23,                 2.4118,                 2.6725,                 3.2193,                0.64646,                  0.375,                0.20673,                0.03208,                 3.0777,                 3.1909,                 3.6882,              0.0010937,              0.0010937,              0.0010937
                     24,                 2.4363,                  2.612,                 3.1711,                 0.5697,                  0.125,                0.12187,                0.01591,                 2.9803,                 3.6006,                 3.8082,              0.0011359,              0.0011359,              0.0011359
                     25,                 2.4707,                 2.5869,                 3.1624,                0.06795,                   0.25,                0.05025,                0.00809,                 3.1167,                 4.0777,                 3.9945,              0.0011777,              0.0011777,              0.0011777
                     26,                 2.2723,                 2.5263,                 3.0642,                 0.0401,                  0.125,                0.04371,                0.00602,                 3.1992,                 5.2132,                 4.1454,              0.0012192,              0.0012192,              0.0012192
                     27,                 2.3336,                 2.5445,                 3.1265,                0.52138,                   0.25,                0.01997,                0.00305,                 3.3151,                 8.1516,                  4.382,              0.0012603,              0.0012603,              0.0012603
                     28,                 2.3047,                 2.5225,                  3.042,                0.52138,                   0.25,                0.01997,                0.00305,                 3.3151,                 8.1516,                  4.382,              0.0013012,              0.0013012,              0.0013012
                     29,                 2.2568,                 2.3602,                 3.0102,                0.50715,                   0.25,                0.01136,                0.00198,                 3.4197,                 26.597,                 4.8559,              0.0013416,              0.0013416,              0.0013416
                     30,                 2.1756,                 2.4729,                 3.0084,                0.51535,                   0.25,                0.03983,                0.00702,                 3.1989,                 15.966,                 4.1943,              0.0013818,              0.0013818,              0.0013818
                     31,                 2.0854,                 2.4729,                 3.0123,                0.00819,                  0.375,                0.04437,                0.00992,                 2.9158,                 6.3604,                 3.5519,              0.0014216,              0.0014216,              0.0014216
                     32,                 2.2097,                 2.6671,                 3.0123,                0.00819,                  0.375,                0.04437,                0.00992,                 2.9158,                 6.3604,                 3.5519,              0.0014611,              0.0014611,              0.0014611
                     33,                 2.2197,                 2.6116,                 3.0274,                0.58998,                   0.25,                0.22821,                 0.0353,                  2.474,                 7.8543,                 3.3795,              0.0014855,              0.0014855,              0.0014855
                     34,                 2.3136,                 2.5171,                 2.9908,                0.54557,                   0.25,                0.25368,                0.04019,                 2.4084,                 12.077,                 3.6144,              0.0014855,              0.0014855,              0.0014855
                     35,                 2.3884,                 2.6658,                 3.0489,                0.54645,                   0.25,                0.11403,                0.02214,                 2.4626,                 13.892,                 3.8505,                0.00148,                0.00148,                0.00148
